	FileNames	Class	Clusters
0	table_1325.pcd	table	-1
1	car_1555.pcd	car	10
2	car_659.pcd	car	10
3	lamp_56.pcd	lamp	7
4	table_4030.pcd	table	-1
5	chair_2603.pcd	chair	13
6	table_300.pcd	table	-1
7	chair_1756.pcd	chair	13
8	chair_127.pcd	chair	4
9	airplane_357.pcd	airplane	-1
10	airplane_120.pcd	airplane	-1
11	earphone_5.pcd	earphone	-1
12	chair_374.pcd	chair	13
13	guitar_343.pcd	guitar	7
14	guitar_648.pcd	guitar	7
15	table_2732.pcd	table	-1
16	chair_2686.pcd	chair	-1
17	car_1657.pcd	car	10
18	knife_146.pcd	knife	7
19	lamp_1463.pcd	lamp	-1
20	car_1498.pcd	car	10
21	skateboard_37.pcd	skateboard	9
22	chair_3623.pcd	chair	4
23	table_3779.pcd	table	-1
24	chair_2751.pcd	chair	-1
25	table_1881.pcd	table	-1
26	airplane_396.pcd	airplane	32
27	chair_1487.pcd	chair	13
28	chair_2926.pcd	chair	13
29	table_122.pcd	table	-1
30	car_1427.pcd	car	10
31	laptop_133.pcd	laptop	2
32	lamp_90.pcd	lamp	-1
33	lamp_319.pcd	lamp	-1
34	chair_2144.pcd	chair	-1
35	chair_3280.pcd	chair	-1
36	table_805.pcd	table	-1
37	table_32.pcd	table	6
38	airplane_1603.pcd	airplane	-1
39	table_1142.pcd	table	-1
40	table_3810.pcd	table	27
41	table_2222.pcd	table	-1
42	chair_1761.pcd	chair	-1
43	airplane_2006.pcd	airplane	-1
44	chair_3068.pcd	chair	13
45	chair_2573.pcd	chair	13
46	table_4068.pcd	table	14
47	chair_2207.pcd	chair	-1
48	chair_1077.pcd	chair	13
49	guitar_32.pcd	guitar	7
50	airplane_2631.pcd	airplane	37
51	airplane_394.pcd	airplane	-1
52	motorbike_105.pcd	motorbike	11
53	table_4833.pcd	table	27
54	guitar_439.pcd	guitar	7
55	rocket_63.pcd	rocket	-1
56	table_804.pcd	table	-1
57	car_967.pcd	car	10
58	airplane_1801.pcd	airplane	17
59	chair_985.pcd	chair	-1
60	table_1140.pcd	table	-1
61	airplane_2521.pcd	airplane	-1
62	table_2740.pcd	table	-1
63	table_3577.pcd	table	24
64	chair_2916.pcd	chair	-1
65	table_269.pcd	table	-1
66	rocket_0.pcd	rocket	18
67	table_4048.pcd	table	-1
68	airplane_1330.pcd	airplane	-1
69	chair_2055.pcd	chair	-1
70	airplane_208.pcd	airplane	-1
71	table_2184.pcd	table	27
72	pistol_168.pcd	pistol	18
73	chair_272.pcd	chair	-1
74	car_1214.pcd	car	-1
75	car_1730.pcd	car	10
76	airplane_1214.pcd	airplane	-1
77	car_1742.pcd	car	10
78	airplane_2030.pcd	airplane	-1
79	table_405.pcd	table	-1
80	table_1853.pcd	table	27
81	table_4254.pcd	table	-1
82	skateboard_68.pcd	skateboard	9
83	table_3127.pcd	table	-1
84	airplane_1333.pcd	airplane	-1
85	chair_561.pcd	chair	13
86	lamp_739.pcd	lamp	5
87	table_1563.pcd	table	-1
88	table_2884.pcd	table	27
89	table_1794.pcd	table	-1
90	laptop_126.pcd	laptop	2
91	rocket_28.pcd	rocket	-1
92	table_2487.pcd	table	-1
93	chair_2685.pcd	chair	-1
94	table_4230.pcd	table	27
95	mug_117.pcd	mug	1
96	table_2635.pcd	table	-1
97	table_3906.pcd	table	-1
98	chair_3294.pcd	chair	4
99	car_87.pcd	car	10
100	airplane_68.pcd	airplane	-1
101	car_715.pcd	car	-1
102	table_3139.pcd	table	27
103	lamp_1508.pcd	lamp	7
104	airplane_1708.pcd	airplane	-1
105	lamp_21.pcd	lamp	-1
106	guitar_532.pcd	guitar	7
107	table_2743.pcd	table	-1
108	table_3561.pcd	table	24
109	car_963.pcd	car	10
110	car_412.pcd	car	10
111	skateboard_101.pcd	skateboard	9
112	knife_33.pcd	knife	7
113	airplane_2629.pcd	airplane	17
114	chair_2089.pcd	chair	13
115	table_4396.pcd	table	-1
116	skateboard_9.pcd	skateboard	9
117	table_4609.pcd	table	27
118	lamp_408.pcd	lamp	7
119	airplane_633.pcd	airplane	-1
120	airplane_1679.pcd	airplane	23
121	guitar_508.pcd	guitar	7
122	chair_3147.pcd	chair	-1
