FileNames	Class	Clusters
table_1325.pcd	table	-1
car_1555.pcd	car	10
car_659.pcd	car	10
lamp_56.pcd	lamp	7
table_4030.pcd	table	-1
chair_2603.pcd	chair	13
table_300.pcd	table	-1
chair_1756.pcd	chair	13
chair_127.pcd	chair	4
airplane_357.pcd	airplane	-1
airplane_120.pcd	airplane	-1
earphone_5.pcd	earphone	-1
chair_374.pcd	chair	13
guitar_343.pcd	guitar	7
guitar_648.pcd	guitar	7
table_2732.pcd	table	-1
chair_2686.pcd	chair	-1
car_1657.pcd	car	10
knife_146.pcd	knife	7
lamp_1463.pcd	lamp	-1
car_1498.pcd	car	10
skateboard_37.pcd	skateboard	9
chair_3623.pcd	chair	4
table_3779.pcd	table	-1
chair_2751.pcd	chair	-1
table_1881.pcd	table	-1
airplane_396.pcd	airplane	32
chair_1487.pcd	chair	13
chair_2926.pcd	chair	13
table_122.pcd	table	-1
car_1427.pcd	car	10
laptop_133.pcd	laptop	2
lamp_90.pcd	lamp	-1
lamp_319.pcd	lamp	-1
chair_2144.pcd	chair	-1
chair_3280.pcd	chair	-1
table_805.pcd	table	-1
table_32.pcd	table	6
airplane_1603.pcd	airplane	-1
table_1142.pcd	table	-1
table_3810.pcd	table	27
table_2222.pcd	table	-1
chair_1761.pcd	chair	-1
airplane_2006.pcd	airplane	-1
chair_3068.pcd	chair	13
chair_2573.pcd	chair	13
table_4068.pcd	table	14
chair_2207.pcd	chair	-1
chair_1077.pcd	chair	13
guitar_32.pcd	guitar	7
airplane_2631.pcd	airplane	37
airplane_394.pcd	airplane	-1
motorbike_105.pcd	motorbike	11
table_4833.pcd	table	27
guitar_439.pcd	guitar	7
rocket_63.pcd	rocket	-1
table_804.pcd	table	-1
car_967.pcd	car	10
airplane_1801.pcd	airplane	17
chair_985.pcd	chair	-1
table_1140.pcd	table	-1
airplane_2521.pcd	airplane	-1
table_2740.pcd	table	-1
table_3577.pcd	table	24
chair_2916.pcd	chair	-1
table_269.pcd	table	-1
rocket_0.pcd	rocket	18
table_4048.pcd	table	-1
airplane_1330.pcd	airplane	-1
chair_2055.pcd	chair	-1
airplane_208.pcd	airplane	-1
table_2184.pcd	table	27
pistol_168.pcd	pistol	18
chair_272.pcd	chair	-1
car_1214.pcd	car	-1
car_1730.pcd	car	10
airplane_1214.pcd	airplane	-1
car_1742.pcd	car	10
airplane_2030.pcd	airplane	-1
table_405.pcd	table	-1
table_1853.pcd	table	27
table_4254.pcd	table	-1
skateboard_68.pcd	skateboard	9
table_3127.pcd	table	-1
airplane_1333.pcd	airplane	-1
chair_561.pcd	chair	13
lamp_739.pcd	lamp	5
table_1563.pcd	table	-1
table_2884.pcd	table	27
table_1794.pcd	table	-1
laptop_126.pcd	laptop	2
rocket_28.pcd	rocket	-1
table_2487.pcd	table	-1
chair_2685.pcd	chair	-1
table_4230.pcd	table	27
mug_117.pcd	mug	1
table_2635.pcd	table	-1
table_3906.pcd	table	-1
chair_3294.pcd	chair	4
car_87.pcd	car	10
airplane_68.pcd	airplane	-1
car_715.pcd	car	-1
table_3139.pcd	table	27
lamp_1508.pcd	lamp	7
airplane_1708.pcd	airplane	-1
lamp_21.pcd	lamp	-1
guitar_532.pcd	guitar	7
table_2743.pcd	table	-1
table_3561.pcd	table	24
car_963.pcd	car	10
car_412.pcd	car	10
skateboard_101.pcd	skateboard	9
knife_33.pcd	knife	7
airplane_2629.pcd	airplane	17
chair_2089.pcd	chair	13
table_4396.pcd	table	-1
skateboard_9.pcd	skateboard	9
table_4609.pcd	table	27
lamp_408.pcd	lamp	7
airplane_633.pcd	airplane	-1
airplane_1679.pcd	airplane	23
guitar_508.pcd	guitar	7
chair_3147.pcd	chair	-1
guitar_699.pcd	guitar	7
guitar_217.pcd	guitar	7
pistol_92.pcd	pistol	-1
table_171.pcd	table	-1
lamp_1267.pcd	lamp	-1
airplane_1025.pcd	airplane	-1
guitar_511.pcd	guitar	7
lamp_136.pcd	lamp	-1
table_4644.pcd	table	-1
lamp_1153.pcd	lamp	7
table_3212.pcd	table	27
chair_927.pcd	chair	-1
airplane_2512.pcd	airplane	-1
airplane_487.pcd	airplane	-1
lamp_574.pcd	lamp	-1
chair_3644.pcd	chair	-1
table_2602.pcd	table	-1
table_3674.pcd	table	-1
chair_1700.pcd	chair	-1
car_1128.pcd	car	10
table_2631.pcd	table	27
table_1712.pcd	table	-1
guitar_232.pcd	guitar	7
chair_2127.pcd	chair	4
airplane_770.pcd	airplane	-1
airplane_1814.pcd	airplane	-1
airplane_2651.pcd	airplane	-1
table_1277.pcd	table	27
car_1579.pcd	car	-1
skateboard_121.pcd	skateboard	-1
lamp_465.pcd	lamp	7
airplane_392.pcd	airplane	-1
chair_1571.pcd	chair	13
airplane_681.pcd	airplane	-1
airplane_1431.pcd	airplane	30
table_4303.pcd	table	-1
chair_1106.pcd	chair	-1
table_826.pcd	table	-1
table_1643.pcd	table	-1
table_303.pcd	table	-1
car_200.pcd	car	10
car_655.pcd	car	10
table_610.pcd	table	-1
guitar_361.pcd	guitar	7
lamp_1189.pcd	lamp	-1
guitar_500.pcd	guitar	7
car_101.pcd	car	10
table_3512.pcd	table	-1
airplane_1448.pcd	airplane	-1
lamp_803.pcd	lamp	-1
lamp_691.pcd	lamp	-1
laptop_135.pcd	laptop	2
lamp_499.pcd	lamp	-1
motorbike_147.pcd	motorbike	11
airplane_622.pcd	airplane	-1
chair_3348.pcd	chair	13
lamp_900.pcd	lamp	7
car_444.pcd	car	-1
table_2643.pcd	table	24
car_240.pcd	car	10
mug_45.pcd	mug	1
chair_1865.pcd	chair	-1
table_164.pcd	table	-1
lamp_1092.pcd	lamp	-1
table_4843.pcd	table	-1
chair_1205.pcd	chair	-1
guitar_781.pcd	guitar	7
knife_247.pcd	knife	7
table_4908.pcd	table	27
chair_3519.pcd	chair	-1
airplane_775.pcd	airplane	20
table_4737.pcd	table	-1
airplane_523.pcd	airplane	21
table_1196.pcd	table	-1
chair_1269.pcd	chair	-1
chair_3404.pcd	chair	-1
lamp_1163.pcd	lamp	7
airplane_733.pcd	airplane	-1
lamp_619.pcd	lamp	7
laptop_82.pcd	laptop	2
airplane_376.pcd	airplane	17
table_5081.pcd	table	-1
table_1412.pcd	table	24
table_228.pcd	table	27
chair_3543.pcd	chair	13
table_1235.pcd	table	-1
airplane_1024.pcd	airplane	26
chair_1977.pcd	chair	13
chair_647.pcd	chair	13
table_1051.pcd	table	-1
chair_1665.pcd	chair	-1
car_1453.pcd	car	10
chair_414.pcd	chair	-1
pistol_239.pcd	pistol	18
airplane_710.pcd	airplane	16
table_1964.pcd	table	-1
chair_2819.pcd	chair	13
lamp_1450.pcd	lamp	-1
table_3890.pcd	table	-1
table_2925.pcd	table	24
chair_1401.pcd	chair	-1
table_4715.pcd	table	27
lamp_905.pcd	lamp	-1
table_3560.pcd	table	-1
guitar_603.pcd	guitar	7
airplane_1470.pcd	airplane	-1
car_63.pcd	car	10
